id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,year,month,week,day_of_week,is_weekend,log_amount,is_high_value,time_window
7477094,2010-01-01 11:58:00,1,4652,15.09,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,53,4,0,2.7781979610042917,False,2010-01
7477168,2010-01-01 12:11:00,1,3682,6.01,Swipe Transaction,72812,Pensacola,FL,32504.0,5813,,2010,1,53,4,0,1.9473377010464987,False,2010-01
7477216,2010-01-01 12:18:00,1,3682,14.58,Online Transaction,18563,ONLINE,,,4121,,2010,1,53,4,0,2.7459880404426023,False,2010-01
7477978,2010-01-01 15:09:00,1,4652,14.66,Online Transaction,18563,ONLINE,,,4121,,2010,1,53,4,0,2.751109690562657,False,2010-01
7478279,2010-01-01 16:26:00,1,4652,22.77,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,53,4,0,3.1684242813721024,False,2010-01
7479209,2010-01-01 21:49:00,1,4652,64.67,Swipe Transaction,73706,Pensacola,FL,32504.0,5812,,2010,1,53,4,0,4.184642200202881,False,2010-01
7480924,2010-01-02 11:53:00,1,4652,16.49,Online Transaction,18563,ONLINE,,,4121,,2010,1,53,5,1,2.8616292890305104,False,2010-01
7482057,2010-01-02 16:27:00,1,3682,14.36,Online Transaction,18563,ONLINE,,,4121,,2010,1,53,5,1,2.731766727719526,False,2010-01
7482225,2010-01-02 17:15:00,3,2157,15.64,Swipe Transaction,78680,Wichita Falls,TX,76301.0,5411,,2010,1,53,5,1,2.8118094353930627,False,2010-01
7484748,2010-01-03 11:32:00,3,2157,8.84,Swipe Transaction,1084,Wichita Falls,TX,76301.0,5310,,2010,1,53,6,1,2.286455711064162,False,2010-01
7485953,2010-01-03 16:05:00,1,4652,13.95,Online Transaction,16798,ONLINE,,,4121,,2010,1,53,6,1,2.7047112998366956,False,2010-01
7488721,2010-01-04 11:34:00,1,3682,15.5,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,1,0,0,2.803360380906535,False,2010-01
7488884,2010-01-04 12:07:00,1,4652,5.34,Swipe Transaction,72812,Pensacola,FL,32504.0,5813,,2010,1,1,0,0,1.8468787684491343,False,2010-01
7489404,2010-01-04 14:02:00,3,2157,54.57,Swipe Transaction,91290,Wichita Falls,TX,76301.0,5300,,2010,1,1,0,0,4.01764348729183,False,2010-01
