ID,Age,Income (USD),Rent (USD),Groceries (USD),Eating Out (USD),Entertainment (USD),Subscription Services (USD),Education (USD),Online Shopping (USD),Savings (USD),Investments (USD),Travel (USD),Fitness (USD),Miscellaneous (USD),total_expense,savings_rate,expense_to_income_ratio,discretionary_vs_fixed_ratio
1,24,7131,544,494,303,81,21,1937,402,1587,619,886,154,291,5113,0.22254943205721497,0.717010236993409,0.718655462184874
2,21,5311,841,288,406,375,98,1660,262,145,2902,1032,237,296,5495,0.0273018263980418,1.0346450762568256,0.9702402294729293
3,25,4125,784,501,79,327,27,1146,586,2991,2407,1284,85,157,4976,0.7250909090909091,1.2063030303030302,1.0468942821883997
4,22,3882,421,254,298,38,88,1056,160,2157,4452,210,232,381,3138,0.5556414219474498,0.8083462132921174,0.8128249566724437
5,24,2941,424,154,475,384,15,1536,476,763,3004,1328,186,151,5129,0.25943556613396807,1.7439646378782727,1.4262062440870389
6,27,4479,1872,281,82,319,52,203,459,672,3914,1644,198,63,5173,0.15003348961821836,1.1549453002902434,1.1956706281833616
7,20,3297,469,309,278,26,44,517,75,2129,2486,163,55,142,2078,0.6457385501971489,0.6302699423718532,0.6046332046332046
8,24,5890,423,475,61,268,63,1832,546,1653,3402,553,26,155,4402,0.2806451612903226,0.7473684210526316,0.6124542124542125
9,25,5509,1358,570,167,136,71,1974,438,1721,3596,1745,75,386,6920,0.31239789435469234,1.2561263387184607,0.7734495130702204
10,22,6350,1410,174,399,87,78,516,107,2796,1677,1004,270,392,4437,0.44031496062992126,0.6987401574803149,1.1128571428571428
11,21,2894,945,376,204,53,91,442,628,1012,4039,1293,132,145,4309,0.3496890117484451,1.4889426399447132,1.4441293250141805
12,25,5781,1085,527,472,213,25,1615,675,739,1304,406,240,294,5552,0.1278325549212939,0.9603874762151877,0.7204834211341804
13,25,2769,500,232,442,344,17,1809,27,2763,4093,218,134,83,3806,0.9978331527627302,1.374503430841459,0.49783549783549785
14,20,6232,668,442,295,74,98,688,496,2845,1963,1597,121,315,4794,0.4565147625160462,0.7692554557124519,1.6662958843159066
15,23,6887,1096,524,454,285,99,849,234,1008,3307,1018,281,251,5091,0.1463627123566139,0.7392188180630173,1.0619684082624545
16,22,5214,376,158,381,61,95,832,571,2325,1361,291,90,70,2925,0.44591484464902187,0.5609896432681243,1.1412884333821376
17,19,2029,358,444,296,316,40,338,516,968,4294,1448,255,156,4167,0.4770823065549532,2.0537210448496794,2.655263157894737
18,25,5123,730,588,78,250,19,1461,522,1129,1787,188,224,177,4237,0.2203786843646301,0.8270544602771813,0.5246491543720763
19,23,7664,937,281,210,397,65,1468,264,952,1073,146,244,75,4087,0.12421711899791232,0.5332724425887265,0.5215934475055846
20,19,4458,1823,557,284,29,85,1159,497,406,1165,196,91,100,4821,0.09107222969941678,1.0814266487213997,0.36224922294433454
21,22,4414,408,505,239,377,79,386,328,2695,3599,1255,85,251,3913,0.6105573176257363,0.8864975079293158,2.0123171670515783
22,18,6389,1307,438,166,147,29,1048,250,2474,2717,1130,24,345,4884,0.3872280482078573,0.7644388793238378,0.748657357679914
23,27,5091,1601,420,320,198,14,505,402,1916,3153,1115,229,147,4951,0.37635042231388727,0.9725004910626596,0.9600158353127475
24,23,3647,367,163,307,212,32,1348,174,494,4126,915,239,145,3902,0.13545379764189744,1.0699204825884288,1.0777422790202342
25,26,6073,1392,426,229,111,18,1718,194,2447,3055,1784,274,336,6482,0.40293100609254073,1.067347274822987,0.8331447963800905
26,18,7218,1488,359,422,388,67,679,134,848,659,592,273,99,4501,0.11748406760875589,0.6235799390412857,0.7818685669041964
27,27,4869,1812,292,221,250,68,1361,409,2432,4642,741,119,396,5669,0.49948654754569727,1.1643047853768742,0.6360750360750361
28,20,2439,604,242,487,97,89,689,330,429,2582,1075,209,376,4198,0.17589175891758918,1.7211972119721197,1.7348534201954398
29,24,2025,973,203,323,104,63,884,319,2197,1129,1361,235,352,4817,1.0849382716049383,2.3787654320987652,1.3383495145631068
30,21,7977,664,559,308,49,55,1118,37,2131,2274,1211,194,194,4389,0.26714303622915886,0.5502068446784505,0.8748398120461341
31,26,1501,1120,505,184,232,31,1568,31,872,4466,1690,40,164,5565,0.580946035976016,3.707528314457029,0.7428750391481366
32,20,1874,1702,313,220,68,73,622,423,1745,1468,1585,111,145,5262,0.9311632870864461,2.807897545357524,0.9954493742889647
33,22,3840,642,341,259,284,17,1169,251,1832,2102,953,268,201,4385,0.47708333333333336,1.1419270833333333,1.037639405204461
34,20,5505,1246,530,285,164,29,892,624,477,3266,779,108,238,4895,0.08664850136239782,0.8891916439600364,0.8347076461769115
35,24,4552,1198,308,471,88,60,952,297,1887,2471,1295,294,297,5260,0.41454305799648505,1.155536028119508,1.1399511798209927
36,22,6148,1877,192,470,77,87,1254,372,1723,1151,380,275,102,5086,0.2802537410540013,0.8272608978529603,0.5305446885344568
37,26,3865,1677,529,235,204,48,783,322,1099,92,666,149,160,4773,0.28434670116429495,1.2349288486416559,0.5968551354968217
38,24,3025,1739,241,466,81,46,1871,560,1948,2566,453,295,353,6105,0.6439669421487604,2.018181818181818,0.5853025188262789
39,19,7447,1432,533,413,327,59,494,489,1661,1281,557,225,114,4643,0.22304283604135894,0.6234725392775614,0.8881659211061407
40,21,5976,1886,503,492,315,43,1061,96,873,2900,1989,41,384,6810,0.1460843373493976,1.1395582329317269,0.9739130434782609
41,26,3146,1061,533,144,185,84,1448,540,1183,2799,1200,97,213,5505,0.3760330578512397,1.7498410680228862,0.8096646942800789
42,19,1513,1820,211,427,190,42,1670,43,1903,3177,1338,72,129,5942,1.2577660277594185,3.9272967614011898,0.6055120237773575
43,27,6099,640,516,60,82,40,1869,34,1198,4511,1785,288,71,5385,0.19642564354812264,0.88293162813576,0.7801652892561983
44,26,3778,1241,474,117,166,63,746,695,2150,2604,1837,83,122,5544,0.5690841715193224,1.467443091582848,1.2527427874847623
45,27,7604,682,158,428,325,53,436,544,1698,3881,1088,133,120,3967,0.2233035244608101,0.5216991057338243,2.1089341692789967
46,22,4655,1303,142,259,180,43,1854,366,847,2413,275,278,161,4861,0.18195488721804512,1.0442534908700323,0.4734768111548954
47,19,1629,1856,306,245,160,80,1391,191,1571,1544,1033,294,220,5776,0.9643953345610804,3.54573357888275,0.6256684491978609
48,21,5314,599,367,418,353,71,344,346,1864,3530,914,130,338,3880,0.3507715468573579,0.7301467820850583,1.9618320610687023
49,24,6433,438,395,147,116,32,1183,504,2422,2646,1178,221,218,4432,0.3764961915125136,0.6889476138660034,1.1984126984126984
50,25,4716,658,217,142,240,55,549,508,1653,4784,794,157,303,3623,0.3505089058524173,0.7682357930449534,1.5442415730337078
51,20,4438,1135,119,71,62,65,1685,481,1715,2058,542,87,236,4483,0.3864353312302839,1.0101397025687247,0.5253487580809799
52,18,5428,1822,321,499,311,16,1935,397,2362,4514,368,23,65,5757,0.43515106853352986,1.060611643330877,0.41172143207454637
53,21,3540,1708,265,221,397,98,819,607,1608,1145,1292,145,47,5599,0.4542372881355932,1.581638418079096,1.0053724928366763
54,19,1527,1927,230,432,127,70,540,183,428,910,1350,289,21,5169,0.28028814669286184,3.3850687622789786,0.9165739710789766
55,25,3613,1603,255,183,285,12,143,391,2402,3306,822,88,36,3818,0.6648214779961251,1.0567395516191531,0.9080459770114943
56,21,2752,1960,283,475,114,47,587,592,1510,1566,1966,252,334,6610,0.5486918604651163,2.401889534883721,1.3356890459363957
57,19,5856,782,189,74,281,93,656,443,225,2395,1414,202,96,4230,0.038422131147540985,0.7223360655737705,1.5998770743700061
58,23,3546,1208,193,234,332,43,1764,496,866,3005,501,251,390,5412,0.24421883812746756,1.5262267343485618,0.7099526066350711
59,23,7068,1434,112,134,90,53,1599,401,1673,4507,1442,60,184,5509,0.23670062252405208,0.7794284097340124,0.7516693163751987
60,27,7043,1165,560,104,238,39,1882,174,1327,4248,993,241,116,5512,0.18841402811302002,0.78262104216953,0.5281397283060715
61,21,6055,438,421,300,40,26,344,276,1295,91,897,268,124,3134,0.2138728323699422,0.517588769611891,1.6051537822111388
62,23,5523,1295,392,193,111,68,1292,693,1858,3992,1066,227,43,5380,0.33641137063190296,0.9741082744885027,0.8059751594494797
63,19,5896,734,532,400,146,19,1863,87,316,330,1547,215,219,5762,0.05359565807327001,0.9772727272727273,0.8414829018855865
64,27,4874,808,329,447,99,93,695,363,1459,954,1263,129,54,4280,0.2993434550677062,0.8781288469429627,1.3362445414847162
65,19,7930,572,421,216,331,27,1796,296,1421,3780,933,89,21,4702,0.17919293820933166,0.592938209331652,0.6859089279311581
66,27,4966,1422,391,461,257,54,267,692,931,2601,468,51,308,4371,0.18747482883608538,0.8801852597664116,1.1014423076923077
67,21,4581,403,537,273,391,68,168,410,281,2977,1783,30,351,4414,0.06134031870770574,0.963545077493997,2.9837545126353793
68,25,5278,1537,125,269,201,71,1794,468,433,4289,914,19,361,5759,0.08203865100416824,1.0911330049261083,0.6663773148148148
69,24,2129,1987,174,228,44,68,1762,278,610,529,838,162,157,5698,0.28651949271958665,2.676373884452795,0.4524598521539638
70,26,1769,1061,555,168,175,58,32,326,482,2892,1921,95,356,4747,0.2724703222159412,2.6834369700395704,1.8804611650485437
71,25,4139,1086,463,482,24,72,376,114,1996,1266,544,122,81,3364,0.4822420874607393,0.8127567045179995,0.7475324675324675
72,22,3493,464,523,314,139,96,1237,483,431,1473,1112,198,318,4884,0.12338963641568852,1.3982250214715144,1.1960431654676258
73,19,7224,1298,398,491,296,41,1585,265,1288,4734,211,121,216,4922,0.17829457364341086,0.6813399778516057,0.500152392563243
74,22,7397,819,249,478,37,19,1463,654,1365,1597,170,184,396,4469,0.18453427065026362,0.6041638502095444,0.7657052548399842
75,25,4391,1607,247,199,217,20,1515,206,999,2525,1965,13,78,6067,0.22751081758141653,1.3816898200865406,0.800831107153458
76,27,6457,816,107,465,76,79,392,392,741,4793,448,231,284,3290,0.11475917608796654,0.5095245470032523,1.5019011406844107
77,26,4932,956,128,264,112,71,488,591,1350,3761,1335,230,352,4527,0.2737226277372263,0.9178832116788321,1.8797709923664123
78,26,2780,912,395,246,38,56,721,425,733,2742,777,180,207,3957,0.26366906474820145,1.4233812949640288,0.9511834319526628
79,18,7776,463,573,91,372,43,945,427,2598,4635,1897,222,82,5115,0.3341049382716049,0.6577932098765432,1.5820292781423524
80,26,7395,1982,513,102,212,26,1052,144,295,4425,610,262,327,5230,0.03989181879648411,0.7072346179851251,0.47448548068790525
81,24,7302,363,308,492,256,63,38,356,1993,469,653,133,298,2960,0.2729389208436045,0.4053683922213092,3.1748942172073344
82,26,3860,1414,227,379,296,85,1882,360,557,3830,1202,137,49,6031,0.14430051813471503,1.5624352331606217,0.7118932727788816
83,25,2075,1440,439,300,246,94,1635,582,929,533,1906,222,190,7054,0.447710843373494,3.3995180722891565,1.0073989755264656
84,18,7599,566,215,344,252,49,1196,197,2404,4562,589,121,40,3569,0.3163574154494012,0.46966706145545467,0.8052604957005564
85,25,2807,1882,538,427,59,28,1040,670,2156,4055,405,94,318,5461,0.7680798004987531,1.9454934093338083,0.5783236994219653
86,25,4692,1463,243,320,342,76,1079,189,2908,3679,709,13,220,4654,0.6197783461210571,0.9919011082693947,0.6710951526032316
87,20,4678,545,529,462,172,91,225,58,1324,4087,481,74,154,2791,0.2830269345874305,0.5966224882428388,1.1485758275596614
88,18,7552,1984,417,172,146,62,1581,88,986,761,1913,129,291,6783,0.1305614406779661,0.8981726694915254,0.7034153691612255
89,25,4234,694,334,416,256,73,66,255,492,890,1138,252,42,3526,0.11620217288615967,0.8327822390174776,2.223034734917733
90,20,7616,1810,106,436,74,92,1220,579,1775,2355,1291,146,106,5860,0.23306197478991597,0.7694327731092437,0.8686224489795918
91,20,3712,775,563,388,191,56,1677,400,2546,1955,612,256,50,4968,0.6858836206896551,1.3383620689655173,0.6477611940298508
92,18,3852,1840,144,315,128,15,834,76,2478,2971,1500,54,140,5046,0.6433021806853583,1.309968847352025,0.7906316536550745
93,22,5068,1276,542,397,373,25,1046,296,2627,1672,866,155,88,5064,0.5183504340962904,0.9992107340173638,0.7681564245810056
94,27,3155,1507,338,78,203,81,998,118,2281,2836,1994,185,153,5655,0.7229793977812995,1.7923930269413628,0.9890960253253606
95,24,3079,1343,539,84,387,27,1629,546,1015,4927,1147,51,390,6143,0.3296524845729133,1.9951282884053263,0.7496439760751923
96,27,7443,857,531,55,217,61,1777,344,1034,4939,1533,98,334,5807,0.13892247749563347,0.7801961574633884,0.8347551342812006
97,26,3703,1317,254,445,390,57,236,480,454,3644,1498,227,165,5069,0.12260329462597894,1.3688900891169322,1.805201992252352
98,24,2890,1847,280,160,392,52,956,198,2731,2297,760,237,352,5234,0.9449826989619378,1.8110726643598616,0.6976970483295492
99,26,3242,1905,314,343,106,48,918,593,1621,4061,1265,76,282,5850,0.5,1.8044417026526836,0.8648390181702263
100,25,3425,1852,187,126,220,58,1946,138,2772,3166,1262,260,312,6361,0.8093430656934306,1.8572262773722628,0.5962358845671267
101,19,2119,1182,355,398,356,21,1589,488,2437,1319,61,50,105,4605,1.150070788107598,2.173194903256253,0.4731285988483685
102,18,2774,446,172,196,341,19,1161,568,2972,183,288,108,35,3334,1.071377072819034,1.2018745493871665,0.8740865654862282
103,24,2456,965,518,116,294,80,472,665,728,1283,1945,88,235,5378,0.2964169381107492,2.189739413680782,1.7508951406649615
104,24,3439,1627,278,441,230,64,1868,474,2779,2846,1666,208,135,6991,0.8080837452747892,2.032858389066589,0.8529021998409754
105,25,5453,919,311,57,137,10,1807,45,1270,2233,502,156,137,4081,0.23289932147441775,0.748395378690629,0.3437602897596312
106,22,3881,1119,392,171,210,58,552,509,426,4088,432,115,289,3847,0.10976552434939449,0.9912393712960578,0.864760058167717
107,20,2468,1163,333,389,61,45,1633,27,1538,1432,831,202,362,5046,0.6231766612641815,2.0445705024311183,0.6126558005752637
108,25,2816,881,564,224,61,30,694,535,2357,3140,1875,131,181,5176,0.8370028409090909,1.8380681818181819,1.4198223468910707
109,23,2543,1322,338,437,334,46,1663,552,1521,1796,97,86,207,5082,0.5981124655918206,1.9984270546598506,0.5293409569665964
110,20,1781,994,322,228,295,33,1252,168,1226,4722,366,121,123,3902,0.6883773161145423,2.1909039865244244,0.5194704049844237
111,18,4344,1551,218,134,348,64,316,507,2783,2055,258,179,160,3735,0.6406537753222836,0.8598066298342542,0.7913669064748201
112,20,7762,1425,412,94,36,34,597,44,1880,3336,1620,15,186,4463,0.24220561710899252,0.5749806750837413,0.833607230895645
113,22,2558,1910,363,185,302,16,767,674,1631,782,1192,206,319,5934,0.6376075058639562,2.3197810789679436,0.9519736842105263
114,20,5793,1740,306,392,277,90,1744,574,2014,1507,626,107,47,5903,0.3476609701363715,1.0189884343172795,0.5575197889182057
115,18,4032,1539,194,65,82,80,1750,444,1332,4870,364,239,291,5048,0.33035714285714285,1.251984126984127,0.4493252942865346
116,22,5328,706,472,382,81,80,885,312,2056,3854,803,177,69,3967,0.3858858858858859,0.7445570570570571,0.9229277750848279
117,27,6678,698,321,244,119,33,1635,204,2575,676,1109,274,390,5027,0.3855944893680743,0.7527702905061395,0.8941220798794273
118,24,6780,1014,465,58,38,20,560,573,492,1830,1536,17,175,4456,0.07256637168141593,0.6572271386430678,1.1853849926434528
